Indicator,ISO3,Population,Human Development Index,Multidimensional Poverty Index,Public Aid per capita,Net ODA received (% of GNI),"Mortality rate, under-5",U5 Under weight,Physicians Density,Measles immunization coverage,Tuberculosis prevalence,Health expenditure per capita,Malaria death rate,Income Gini coefficient,Food Availability Score,Food Utilization Score,Food Access Score,HFA Scores Last recent,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult literacy rate,Internet users,Mobile cellular subscriptions,Improved sanitation facilities,Improved water source,GDP per capita
Lebanon,LBN,4467390,77,,741.0,1.6,9.1,4.2,35.4,80,20,1016,,,3.3,0.0,x,3.1,-0.4,28,99.9,89.6,61.2,93.2,78.6,100.0,15523
Lesotho,LSO,2074465,49,0.227,277.2,9.9,98.0,13.5,,85,424,227,,52.5,4.5,2.2,3.6,1.6,-0.4,49,17.0,75.8,4.6,59.2,29.6,81.3,1918
Liberia,LBR,4294077,41,0.459,364.3,36.1,71.1,20.4,,80,495,102,87.0,38.2,6.0,8.2,x,,-1.3,38,,42.9,3.8,56.4,16.8,74.6,627
Libya,LBY,6201521,78,,124.3,0.0,14.5,5.6,19.0,98,66,439,,,1.5,0.5,x,,-1.5,15,99.8,89.5,19.9,148.2,96.6,54.4,6017
Liechtenstein,LIE,36925,89,,0.0,0.0,,,,,,,,,1.3,0.0,x,,1.7,,,,89.4,103.9,,,89400
Lithuania,LTU,2956121,83,,0.0,0.0,4.9,,36.4,93,93,1426,,37.6,1.1,0.0,2.9,,0.8,57,,99.7,68.0,151.8,94.3,95.9,19125
Luxembourg,LUX,543202,88,,0.0,0.0,2.0,,27.8,96,10,6341,,30.8,1.3,0.0,0.8,,1.6,80,,,92.0,145.5,100.0,100.0,80559
Macedonia FYR,MKD,2107158,73,0.007,162.1,1.6,6.6,1.8,26.2,97,26,835,,43.6,4.5,0.0,3.4,3.5,-0.1,44,,97.4,63.1,108.2,91.4,99.4,10469
Madagascar,MDG,22924851,50,0.420,39.4,4.0,56.0,36.8,1.6,69,442,40,17.0,44.1,6.8,8.5,5.2,3.1,-1.1,28,17.4,64.5,2.1,39.1,13.9,49.6,944
Malawi,MWI,16362567,41,0.332,129.1,28.6,67.9,13.8,0.2,90,140,83,75.0,43.9,5.2,5.6,4.7,3.4,-0.6,37,8.7,61.3,4.4,27.8,10.3,85.0,851
Malaysia,MYS,29716965,77,,1.9,0.0,8.5,12.9,12.0,95,101,676,0.1,46.2,3.5,0.0,3.6,4.0,1.1,50,99.4,93.1,65.8,140.9,95.7,99.6,16240
Maldives,MDV,345023,70,0.008,301.5,3.3,9.9,17.8,16.0,98,65,771,,37.4,3.1,0.4,4.6,2.7,-0.3,,,98.4,38.9,172.8,98.7,98.6,8603
Mali,MLI,15301650,41,0.533,207.2,10.2,122.7,27.9,0.8,59,92,74,176.0,33.0,1.9,0.0,6.1,3.1,-0.8,28,,33.4,2.2,89.5,21.9,67.2,1128
Malta,MLT,423282,83,,0.0,0.0,6.1,,32.3,93,16,2548,,,2.0,0.0,2.6,,1.2,56,,92.4,70.0,128.7,100.0,100.0,25598
Marshall Islands,MHL,52634,,,3127.1,35.5,37.5,,4.4,78,1079,418,,,4.7,0.0,x,2.1,-1.6,,,,10.0,,76.2,94.5,2500
Mauritania,MRT,3889880,49,0.362,272.2,10.8,90.1,19.5,1.3,75,794,122,80.0,40.5,2.5,0.5,6.5,3.1,-0.9,30,,58.6,5.4,111.1,26.7,49.6,2008
Mauritius,MUS,1296303,77,,278.2,1.5,14.3,,,99,39,784,,,2.9,0.0,4.8,3.7,0.9,52,99.4,88.8,41.4,113.1,90.8,99.8,14962
Mexico,MEX,122332399,76,0.024,11.3,0.0,14.5,2.8,19.6,99,33,1062,0.0,47.2,2.8,0.0,1.9,3.0,0.3,34,,93.5,38.4,86.8,85.3,94.9,14653
Micronesia,FSM,103549,63,,2403.9,33.5,36.4,,1.8,91,270,489,,61.1,4.7,0.0,x,2.6,-0.6,,,,26.0,24.6,57.2,89.0,2200
Moldova Republic of,MDA,3559000,66,0.005,264.9,5.8,15.4,3.2,36.4,91,249,490,,33.0,4.4,0.0,2.9,2.5,-0.4,35,,99.0,43.4,115.9,86.7,96.5,3373
Mongolia,MNG,2839073,70,0.077,278.1,4.8,31.8,5.3,27.6,99,380,345,,36.5,5.7,5.8,x,3.0,-0.5,38,86.2,97.4,16.4,117.6,56.2,84.6,4770
Montenegro,MNE,621383,79,0.012,368.1,2.5,5.3,2.2,20.3,90,25,1019,,28.6,0.5,0.0,x,3.4,0.2,,,98.5,56.8,177.9,90.0,98.0,11545
Morocco,MAR,33008150,62,,88.6,1.6,30.4,3.1,6.2,99,140,340,,40.9,1.1,0.0,3.7,2.8,-0.1,37,98.9,67.1,55.0,119.7,75.4,83.6,5080
Mozambique,MOZ,25833752,39,0.390,163.0,14.6,87.2,18.3,0.3,82,553,66,80.0,45.7,5.6,7.6,6.2,4.2,-0.6,30,15.0,50.6,4.8,33.1,21.0,49.2,1090
Myanmar,MMR,53259018,52,,24.8,0.0,50.5,22.6,5.0,84,489,25,17.0,,5.5,3.9,x,2.2,-1.5,21,48.8,92.7,1.1,11.2,77.4,85.7,1325
Namibia,NAM,2303315,62,0.200,236.6,2.0,49.8,17.5,3.7,76,688,619,19.0,63.9,7.7,10.0,4.4,3.3,0.2,48,43.7,76.5,12.9,103.0,32.2,91.7,7451
Nauru,NRU,9378,,,7811.9,0.0,36.6,4.8,7.1,96,91,277,,,4.7,0.0,x,1.8,-0.6,,,,,65.6,,,5000
